epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,728.01,0.70594,0.49493,0.9379,0.9385,0.83924,0.92045,0.70087,0.90139,0.6722,0.98906,0.000515,0.000515,0.000515
77,737.599,0.67304,0.48402,0.9268,0.92052,0.86,0.9238,0.69545,0.94034,0.68702,1.00152,0.0004952,0.0004952,0.0004952
78,746.973,0.69225,0.47387,0.93413,0.85078,0.9,0.90783,0.69179,0.92853,0.67655,1.00618,0.0004754,0.0004754,0.0004754
79,756.09,0.69007,0.46853,0.91857,0.88184,0.89559,0.91772,0.71093,0.89959,0.62464,0.98041,0.0004556,0.0004556,0.0004556
80,765.715,0.64894,0.46181,0.92625,0.89827,0.88303,0.91616,0.70276,0.9092,0.66047,0.98694,0.0004358,0.0004358,0.0004358
81,775.187,0.64608,0.46946,0.93084,0.84767,0.91819,0.91135,0.71302,0.85596,0.65529,0.97181,0.000416,0.000416,0.000416
82,784.75,0.68803,0.47024,0.92799,0.85119,0.915,0.91907,0.71301,0.90879,0.64049,0.98713,0.0003962,0.0003962,0.0003962
83,794.414,0.66175,0.46047,0.9285,0.87729,0.87,0.91445,0.7089,0.91813,0.63906,1.00011,0.0003764,0.0003764,0.0003764
84,804.274,0.6625,0.46184,0.92571,0.89301,0.83466,0.90634,0.71438,0.90638,0.63577,1.01613,0.0003566,0.0003566,0.0003566
85,813.592,0.64983,0.45539,0.93421,0.93173,0.835,0.91351,0.72679,0.86131,0.60922,0.99122,0.0003368,0.0003368,0.0003368
86,823.172,0.63864,0.44101,0.92229,0.91379,0.86,0.91601,0.7228,0.87096,0.64872,0.99137,0.000317,0.000317,0.000317
87,832.344,0.65147,0.46272,0.93018,0.9081,0.855,0.91861,0.70476,0.86827,0.65842,0.9883,0.0002972,0.0002972,0.0002972
88,841.821,0.62428,0.45276,0.92085,0.9054,0.885,0.93122,0.72026,0.84976,0.60581,0.98432,0.0002774,0.0002774,0.0002774
